p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.604504115870137e-22,0.9965983385067749,0.382,0.199,6.623636763322964e-18,5,PHLDA1
2.984857575136307e-21,0.7014825086214755,0.419,0.228,5.484974280070478e-17,5,PDPN
6.938392762381464e-21,0.800316464332218,0.382,0.206,1.274999054015218e-16,5,TGFBR2
9.889078796915207e-21,0.9594473715094053,0.318,0.157,1.8172171197211384e-16,5,ZNF207
3.291602316848388e-20,0.4168634330094658,0.686,0.455,6.048648417440598e-16,5,CD55
3.292632317258042e-20,0.8211024653551577,0.636,0.443,6.050541146193378e-16,5,SAT1
1.8627805670202873e-19,0.5216307936741669,0.589,0.382,3.42304556995648e-15,5,CAV1
2.403511870352686e-19,0.47740533625690595,0.866,0.772,4.416693412960096e-15,5,MT-CO2
3.1392583812678176e-19,0.5224982893078947,0.839,0.725,5.7687012014177414e-15,5,MT-ND3
3.488763945062326e-19,1.1013749707745786,0.283,0.136,6.41095262544653e-15,5,DUSP6
3.096992220649036e-18,0.5808535193307802,0.399,0.221,5.691032904664669e-14,5,CHMP4B
3.710181673779017e-18,0.7133882914363476,0.5,0.304,6.817829843736323e-14,5,HMOX1
3.760062479786343e-18,0.6034534165014609,0.465,0.279,6.909490812855384e-14,5,YBX3
3.865023229443085e-18,0.25671363348146947,0.417,0.226,7.102366686424613e-14,5,CRTAC1
1.0810783588027419e-17,0.6094932955150036,0.426,0.243,1.9865895921359185e-13,5,RND3
1.41591319956454e-17,0.7716581874575636,0.293,0.147,2.6018820955197985e-13,5,SAV1
4.2604679912768957e-17,0.7863810246807101,0.279,0.14,7.829035980770423e-13,5,FAM107B
5.497516270787552e-17,0.7730592005820633,0.409,0.241,1.0102235899199205e-12,5,IRF2BP2
9.116102089289715e-17,0.48548789767282763,0.574,0.368,1.675174919927878e-12,5,RSL24D1
1.036999836126399e-16,0.4157058634465862,0.822,0.665,1.9055908988658706e-12,5,MT-ND5
1.357545133303557e-16,0.8298689784052229,0.326,0.176,2.494624936958616e-12,5,EIF1B
1.8281084018963156e-16,0.4609135245804543,0.864,0.79,3.3593319993246696e-12,5,MT-CO1
2.1340266197433353e-16,0.7420168112561271,0.283,0.144,3.921487316440353e-12,5,SPRY2
2.5647976867927223e-16,0.3057327640029568,0.574,0.371,4.713072229250306e-12,5,CLIC4
2.988859879836382e-16,0.8356597212789045,0.322,0.172,5.492328915187335e-12,5,SERPING1
4.4138503978882875e-16,0.9271837239968557,0.343,0.195,8.110891491159518e-12,5,PLK2
6.450538477262722e-16,0.5354683780166867,0.636,0.436,1.1853509505817978e-11,5,PMP22
9.415598062298715e-16,0.46748333894526084,0.603,0.408,1.730210299928012e-11,5,HNRNPDL
