p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
7.382950069082312e-140,6.8273741619269686,0.4,0.02,1.3566909046945655e-135,6,IL1B
1.1749284543616414e-263,6.779940684699829,0.371,0.007,2.1590485277349521e-259,6,SAMSN1
9.709864099327536e-66,6.644238078407417,0.267,0.02,1.784284626892428e-61,6,LTF
1.0316073865167576e-225,6.639937797252069,0.257,0.003,1.8956817334631936e-221,6,CLEC4E
3.3717679108485367e-216,6.581340073360097,0.276,0.004,6.195960712975271e-212,6,CSF3R
1.1096888733912581e-216,6.562945179521483,0.476,0.017,2.039164273743776e-212,6,LCP1
4.877132847960478e-213,6.462744973278592,0.333,0.007,8.962219321412175e-209,6,AQP9
5.753577660287387e-153,5.990976659008414,0.267,0.007,1.0572774308544101e-148,6,FGR
1.6598598935267374e-186,5.983943215796412,0.352,0.01,3.050158540344733e-182,6,CTSS
1.0038429171526104e-127,5.9498689335592685,0.257,0.008,1.844661744559637e-123,6,SELL
0,9.322750859002511,0.697,0.008,0,7,IBSP
7.687854526283552e-202,7.2743864171650845,0.576,0.019,1.4127201477498656e-197,7,COL10A1
1.6870827989692847e-89,5.200526539397599,0.682,0.068,3.1001833513859575e-85,7,CYTL1
2.159845789042586e-16,4.358143511909973,0.47,0.154,3.968932621944656e-12,7,APOD
1.236662580354514e-30,3.750618390407414,0.742,0.25,2.2724911576594547e-26,7,RBP4
1.9723115435774954e-33,2.9831043540577524,0.742,0.215,3.6243196924780054e-29,7,CHAD
1.42244951922917e-30,2.9690870071170776,0.924,0.371,2.613893236535523e-26,7,CLEC3A
2.332740724709203e-25,2.7691665595286574,0.697,0.236,4.2866443557256314e-21,7,PDPN
2.899378733044573e-24,2.761662306173485,0.955,0.611,5.3278983598427074e-20,7,C2orf40
