source,target,value,group,metric
Hom-NPCs,Fibro-reg NPCs,0.004720552103603182,severe,weight
Eff-NPCs,Fibro-reg NPCs,0.0013913438189904666,severe,weight
Ht-NPCs,Fibro-reg NPCs,9.21831219010155e-4,severe,weight
Fibro-NPCs,Fibro-reg NPCs,0.03219490859704359,severe,weight
Fibro-reg NPCs,Fibro-reg NPCs,0.017374887906023997,severe,weight
Hom/Reg-like NPCs,Fibro-reg NPCs,0.00843110906469192,severe,weight
ECM/Adh-NPCs,Hom/Reg-like NPCs,0.00888970438781576,severe,weight
Hom-NPCs,Hom/Reg-like NPCs,0.0032421991037925005,severe,weight
Eff-NPCs,Hom/Reg-like NPCs,8.498010151993491e-4,severe,weight
Ht-NPCs,Hom/Reg-like NPCs,6.254116446352857e-4,severe,weight
Fibro-NPCs,Hom/Reg-like NPCs,0.02641296951497697,severe,weight
Fibro-reg NPCs,Hom/Reg-like NPCs,0.014930313528084438,severe,weight
Hom/Reg-like NPCs,Hom/Reg-like NPCs,0.0063599761082515065,severe,weight
ECM/Adh-NPCs,ECM/Adh-NPCs,1.4305562715321627e-4,severe_minus_mild,weight_delta
Hom-NPCs,ECM/Adh-NPCs,-2.066774049615128e-6,severe_minus_mild,weight_delta
Eff-NPCs,ECM/Adh-NPCs,-7.538490164882541e-6,severe_minus_mild,weight_delta
Ht-NPCs,ECM/Adh-NPCs,4.842164801935694e-6,severe_minus_mild,weight_delta
Fibro-NPCs,ECM/Adh-NPCs,-1.0075434900974183e-4,severe_minus_mild,weight_delta
Fibro-reg NPCs,ECM/Adh-NPCs,4.5198869167832186e-5,severe_minus_mild,weight_delta
Hom/Reg-like NPCs,ECM/Adh-NPCs,1.4502537152935181e-4,severe_minus_mild,weight_delta
ECM/Adh-NPCs,Hom-NPCs,7.22251719112001e-5,severe_minus_mild,weight_delta
Hom-NPCs,Hom-NPCs,-0.0021681599002212133,severe_minus_mild,weight_delta
Eff-NPCs,Hom-NPCs,-3.4988824217796575e-4,severe_minus_mild,weight_delta
Ht-NPCs,Hom-NPCs,1.4758543121527572e-4,severe_minus_mild,weight_delta
Fibro-NPCs,Hom-NPCs,0.006622304202726703,severe_minus_mild,weight_delta
Fibro-reg NPCs,Hom-NPCs,0.0039030928565026305,severe_minus_mild,weight_delta
Hom/Reg-like NPCs,Hom-NPCs,-0.0036629254674061386,severe_minus_mild,weight_delta
ECM/Adh-NPCs,Eff-NPCs,-0.0049210387084103226,severe_minus_mild,weight_delta
Hom-NPCs,Eff-NPCs,-0.002205051628046969,severe_minus_mild,weight_delta
Eff-NPCs,Eff-NPCs,-8.804422357899219e-4,severe_minus_mild,weight_delta
Ht-NPCs,Eff-NPCs,2.0053689577136365e-5,severe_minus_mild,weight_delta
Fibro-NPCs,Eff-NPCs,-0.0010628205990103065,severe_minus_mild,weight_delta
Fibro-reg NPCs,Eff-NPCs,-5.669138140371672e-4,severe_minus_mild,weight_delta
Hom/Reg-like NPCs,Eff-NPCs,-0.006977707124112732,severe_minus_mild,weight_delta
ECM/Adh-NPCs,Ht-NPCs,9.309451450622572e-5,severe_minus_mild,weight_delta
Hom-NPCs,Ht-NPCs,-6.296588428398641e-7,severe_minus_mild,weight_delta
Eff-NPCs,Ht-NPCs,-1.2659432998089703e-7,severe_minus_mild,weight_delta
